Country,Requests,Dates
KW,6326000,2015-06-01 00:00:00
PR,6141000,2015-06-01 00:00:00
EE,6122000,2015-06-01 00:00:00
NP,5923000,2015-06-01 00:00:00
VE,5857000,2015-06-01 00:00:00
MA,5546000,2015-06-01 00:00:00
BA,5494000,2015-06-01 00:00:00
GH,5084000,2015-06-01 00:00:00
LV,5064000,2015-06-01 00:00:00
LB,4933000,2015-06-01 00:00:00
MK,4905000,2015-06-01 00:00:00
AL,4423000,2015-06-01 00:00:00
GE,4366000,2015-06-01 00:00:00
TT,4203000,2015-06-01 00:00:00
DZ,4016000,2015-06-01 00:00:00
IQ,3705000,2015-06-01 00:00:00
OM,3607000,2015-06-01 00:00:00
JM,3581000,2015-06-01 00:00:00
CY,3477000,2015-06-01 00:00:00
CR,3465000,2015-06-01 00:00:00
TN,3400000,2015-06-01 00:00:00
MT,3366000,2015-06-01 00:00:00
JO,3303000,2015-06-01 00:00:00
BH,3278000,2015-06-01 00:00:00
EC,3206000,2015-06-01 00:00:00
MM,3104000,2015-06-01 00:00:00
DO,3037000,2015-06-01 00:00:00
TZ,2986000,2015-06-01 00:00:00
MU,2937000,2015-06-01 00:00:00
IS,2899000,2015-06-01 00:00:00
KH,2780000,2015-06-01 00:00:00
BY,2739000,2015-06-01 00:00:00
AF,2565000,2015-06-01 00:00:00
KZ,2546000,2015-06-01 00:00:00
PA,2539000,2015-06-01 00:00:00
MD,2510000,2015-06-01 00:00:00
ET,2506000,2015-06-01 00:00:00
AZ,2442000,2015-06-01 00:00:00
LU,2161000,2015-06-01 00:00:00
UG,2038000,2015-06-01 00:00:00
UY,1969000,2015-06-01 00:00:00
GT,1908000,2015-06-01 00:00:00
AM,1805000,2015-06-01 00:00:00
BN,1606000,2015-06-01 00:00:00
ZW,1491000,2015-06-01 00:00:00
MN,1359000,2015-06-01 00:00:00
SV,1345000,2015-06-01 00:00:00
FJ,1307000,2015-06-01 00:00:00
ME,1258000,2015-06-01 00:00:00
BS,1253000,2015-06-01 00:00:00
BB,1207000,2015-06-01 00:00:00
ZM,1133000,2015-06-01 00:00:00
HN,1128000,2015-06-01 00:00:00
BO,1072000,2015-06-01 00:00:00
SD,1065000,2015-06-01 00:00:00
MV,931000,2015-06-01 00:00:00
JE,927000,2015-06-01 00:00:00
BW,923000,2015-06-01 00:00:00
AO,905000,2015-06-01 00:00:00
PS,887000,2015-06-01 00:00:00
IM,869000,2015-06-01 00:00:00
MO,854000,2015-06-01 00:00:00
NA,852000,2015-06-01 00:00:00
PY,830000,2015-06-01 00:00:00
